,year_income,state_id,median_income
213,1994,FL,48069
214,1994,GA,51634
215,1994,HI,69337
216,1994,ID,51748
217,1994,IL,57565
218,1994,IN,45712
219,1994,IA,54280
220,1994,KS,46474
221,1994,LA,42132
222,1994,KY,43640
223,1994,ME,49746
224,1994,MD,64320
225,1994,MA,66457
226,1994,MI,57898
227,1994,MN,55207
228,1994,MS,41679
229,1994,MO,49539
230,1994,MT,45340
231,1994,NE,52171
232,1994,NV,58861
233,1994,NH,57834
234,1994,NJ,69378
235,1994,NM,44149
236,1994,NY,52343
237,1994,NC,49414
238,1994,ND,46402
239,1994,OH,52271
240,1994,OK,44290
241,1994,OR,51616
242,1994,PA,52617
243,1994,RI,52391
244,1994,SC,48975
245,1994,SD,48789
246,1994,TN,46994
247,1994,TX,50466
248,1994,UT,58607
249,1994,VT,58748
250,1994,VA,61775
251,1994,WA,55025
252,1994,WV,38666
253,1994,WI,58068
254,1994,WY,54380
255,1995,AL,41646
256,1995,AK,76837
257,1995,AZ,49452
258,1995,AR,41362
259,1995,CA,59300
260,1995,CO,65224
261,1995,CT,64482
262,1995,DE,55965
263,1995,D.C,49268
264,1995,FL,47661
265,1995,GA,54637
266,1995,HI,68661
267,1995,ID,52357
268,1995,IL,61001
269,1995,IN,53493
270,1995,IA,56912
271,1995,KS,48616
272,1995,LA,44783
273,1995,KY,47765
274,1995,ME,54251
275,1995,MD,65760
276,1995,MA,61807
277,1995,MI,58366
278,1995,MN,60780
279,1995,MS,42522
280,1995,MO,55800
281,1995,MT,44475
282,1995,NE,52762
283,1995,NV,57818
284,1995,NH,62764
285,1995,NJ,70380
286,1995,NM,41646
287,1995,NY,52921
288,1995,NC,51240
289,1995,ND,46610
290,1995,OH,55986
291,1995,OK,42158
292,1995,OR,58282
293,1995,PA,55318
294,1995,RI,56656
295,1995,SC,46581
296,1995,SD,47393
297,1995,TN,46491
298,1995,TX,51336
299,1995,UT,58452
300,1995,VT,54196
301,1995,VA,58039
302,1995,WA,56991
303,1995,WV,39865
304,1995,WI,65623
305,1995,WY,50519
306,1996,AL,47294
307,1996,AK,82374
308,1996,AZ,49377
309,1996,AR,42332
310,1996,CA,60576
311,1996,CO,63912
312,1996,CT,65737
313,1996,DE,61351
314,1996,D.C,49891
315,1996,FL,47823
316,1996,GA,50718
317,1996,HI,65195
318,1996,ID,54172
319,1996,IL,61734
320,1996,IN,54855
321,1996,IA,51831
322,1996,KS,50857
323,1996,LA,47231
324,1996,KY,50588
325,1996,ME,54152
326,1996,MD,68662
327,1996,MA,61640
328,1996,MI,61220
329,1996,MN,63976
330,1996,MS,41636
331,1996,MO,53479
332,1996,MT,44768
333,1996,NE,53087
334,1996,NV,60151
335,1996,NH,61504
336,1996,NJ,74085
337,1996,NM,39153
338,1996,NY,55266
339,1996,NC,55564
340,1996,ND,49117
341,1996,OH,53175
342,1996,OK,42822
343,1996,OR,55394
344,1996,PA,54468
345,1996,RI,57726
346,1996,SC,54103
347,1996,SD,46083
348,1996,TN,48055
349,1996,TX,51617
350,1996,UT,57807
351,1996,VT,50503
352,1996,VA,61198
353,1996,WA,57242
354,1996,WV,39404
355,1996,WI,62431
356,1996,WY,48310
357,1997,AL,48794
358,1997,AK,73321
359,1997,AZ,50018
360,1997,AR,39968
361,1997,CA,60641
362,1997,CO,66048
363,1997,CT,67197
364,1997,DE,65742
365,1997,D.C,48673
366,1997,FL,49582
367,1997,GA,56011
368,1997,HI,62536
369,1997,ID,51032
370,1997,IL,63069
371,1997,IN,59411
372,1997,IA,51611
373,1997,KS,55717
374,1997,LA,50812
375,1997,KY,51105
376,1997,ME,50066
377,1997,MD,71322
378,1997,MA,64199
379,1997,MI,59187
380,1997,MN,65026
381,1997,MS,43538
382,1997,MO,55843
383,1997,MT,44628
384,1997,NE,53000
385,1997,NV,59358
386,1997,NH,62633
387,1997,NJ,73363
388,1997,NM,45963
389,1997,NY,54689
390,1997,NC,54753
391,1997,ND,48369
392,1997,OH,55203
393,1997,OK,47896
394,1997,OR,56903
395,1997,PA,57315
396,1997,RI,53160
397,1997,SC,52343
398,1997,SD,45364
399,1997,TN,46803
400,1997,TX,53585
401,1997,UT,65348
402,1997,VT,53551
403,1997,VA,65626
404,1997,WA,68078
405,1997,WV,41994
406,1997,WI,60490
407,1997,WY,51061
408,1998,AL,54664
409,1998,AK,76408
410,1998,AZ,55906
411,1998,AR,41700
412,1998,CA,61700
413,1998,CO,70239
414,1998,CT,70102
415,1998,DE,62490
416,1998,D.C,50394
417,1998,FL,52619
418,1998,GA,58280
419,1998,HI,61539
420,1998,ID,55288
421,1998,IL,65082
422,1998,IN,59887
423,1998,IA,55799
424,1998,KS,55335
425,1998,LA,47834
426,1998,KY,54643
427,1998,ME,53720
428,1998,MD,75389
429,1998,MA,63827
430,1998,MI,63037
431,1998,MN,72239
432,1998,MS,43893
433,1998,MO,60595
434,1998,MT,47596
435,1998,NE,54886
436,1998,NV,59924
437,1998,NH,67766
438,1998,NJ,75103
439,1998,NM,47545
440,1998,NY,56364
441,1998,NC,54019
442,1998,ND,45677
443,1998,OH,58672
444,1998,OK,50837
445,1998,OR,58886
446,1998,PA,58808
447,1998,RI,61326
448,1998,SC,50144
449,1998,SD,49419
450,1998,TN,51386
451,1998,TX,53936
452,1998,UT,66772
453,1998,VT,59346
454,1998,VA,65348
455,1998,WA,71478
456,1998,WV,40251
457,1998,WI,62292
458,1998,WY,53133
459,1999,AK,53502
460,1999,AK,75854
461,1999,AL,54600
462,1999,AR,43807
463,1999,CA,64391
464,1999,CO,71103
465,1999,CT,74669
466,1999,DE,68817
467,1999,D.C,57072
468,1999,FL,52882
469,1999,GA,58187
470,1999,HI,65683
471,1999,ID,52836
472,1999,IL,68377
473,1999,IN,60272
474,1999,IA,60656
475,1999,KS,55121
476,1999,LA,48193
477,1999,KY,49793
478,1999,ME,57356
479,1999,MD,77048
480,1999,MA,64946
481,1999,MI,68022
482,1999,MN,69422
483,1999,MS,47934
484,1999,MO,61076
485,1999,MT,45808
486,1999,NE,57007
487,1999,NV,61191
488,1999,NH,67972
489,1999,NJ,73401
490,1999,NM,48075
491,1999,NY,59019
492,1999,NC,54982
493,1999,ND,48207
494,1999,OH,58281
495,1999,OK,48236
496,1999,OR,59949
497,1999,PA,55726
498,1999,RI,63048
499,1999,SC,53813
500,1999,SD,52878
501,1999,TN,53902
502,1999,TX,57099
503,1999,UT,67964
504,1999,VT,61373
505,1999,VA,67437
506,1999,WA,67113
507,1999,WV,43239
508,1999,WI,67399
509,1999,WY,54974
510,2000,AL,50566
511,2000,AK,75436
512,2000,AZ,56788
513,2000,AR,42391
514,2000,CA,66827
515,2000,CO,68860
516,2000,CT,71618
517,2000,DE,71893
518,2000,D.C,58842
519,2000,FL,55465
520,2000,GA,59811
521,2000,HI,73579
522,2000,ID,53688
523,2000,IL,65754
524,2000,IN,58332
525,2000,IA,58512
526,2000,KS,58609
527,2000,LA,43848
528,2000,KY,51766
529,2000,ME,53195
530,2000,MD,77846
531,2000,MA,66737
532,2000,MI,64966
533,2000,MN,77440
534,2000,MS,48960
535,2000,MO,64373
536,2000,MT,46787
537,2000,NE,59596
538,2000,NV,65317
539,2000,NH,72694
