YEAR,STATE,STATE_id,Median_Income
1997,Alabama,AK,73321
1997,Arizona,AZ,50018
1997,Arkansas,AR,39968
1997,California,CA,60641
1997,Colorado,CO,66048
1997,Connecticut,CT,67197
1997,Delaware,DE,65742
1997,DC,D.C,48673
1997,Florida,FL,49582
1997,Georgia,GA,56011
1997,Hawaii,HI,62536
1997,Idaho,ID,51032
1997,Illinois,IL,63069
1997,Indiana,IN,59411
1997,Iowa,IA,51611
1997,Kansas,KS,55717
1997,Lousiana,LA,50812
1997,Kentucky,KY,51105
1997,Maine,ME,50066
1997,Maryland,MD,71322
1997,Massachusetts,MA,64199
1997,Michigan,MI,59187
1997,Minnesota,MN,65026
1997,Mississippi,MS,43538
1997,Missouri,MO,55843
1997,Montana,MT,44628
1997,Nebraska,NE,53000
1997,Nevada,NV,59358
1997,New Hampshire,NH,62633
1997,New Jersey,NJ,73363
1997,New Mexico,NM,45963
1997,New York,NY,54689
1997,North Carolina,NC,54753
1997,North Dakota,ND,48369
1997,Ohio,OH,55203
1997,Oklahoma,OK,47896
1997,Oregon,OR,56903
1997,Pennsylvania,PA,57315
1997,Rhode Island,RI,53160
1997,South Carolina,SC,52343
1997,South Dakota,SD,45364
1997,Tennesse,TN,46803
1997,Texas,TX,53585
1997,Utah,UT,65348
1997,Vermont,VT,53551
1997,Virginia,VA,65626
1997,Washington,WA,68078
1997,West Virginia,WV,41994
1997,Wisconsin,WI,60490
1997,Wyoming,WY,51061
1998,Alaska,AL,54664
1998,Alabama,AK,76408
1998,Arizona,AZ,55906
1998,Arkansas,AR,41700
1998,California,CA,61700
1998,Colorado,CO,70239
1998,Connecticut,CT,70102
1998,Delaware,DE,62490
1998,DC,D.C,50394
1998,Florida,FL,52619
1998,Georgia,GA,58280
1998,Hawaii,HI,61539
1998,Idaho,ID,55288
1998,Illinois,IL,65082
1998,Indiana,IN,59887
1998,Iowa,IA,55799
1998,Kansas,KS,55335
1998,Lousiana,LA,47834
1998,Kentucky,KY,54643
1998,Maine,ME,53720
1998,Maryland,MD,75389
1998,Massachusetts,MA,63827
1998,Michigan,MI,63037
1998,Minnesota,MN,72239
1998,Mississippi,MS,43893
1998,Missouri,MO,60595
1998,Montana,MT,47596
1998,Nebraska,NE,54886
1998,Nevada,NV,59924
1998,New Hampshire,NH,67766
1998,New Jersey,NJ,75103
1998,New Mexico,NM,47545
1998,New York,NY,56364
1998,North Carolina,NC,54019
1998,North Dakota,ND,45677
1998,Ohio,OH,58672
1998,Oklahoma,OK,50837
1998,Oregon,OR,58886
1998,Pennsylvania,PA,58808
1998,Rhode Island,RI,61326
1998,South Carolina,SC,50144
1998,South Dakota,SD,49419
1998,Tennesse,TN,51386
1998,Texas,TX,53936
1998,Utah,UT,66772
1998,Vermont,VT,59346
1998,Virginia,VA,65348
1998,Washington,WA,71478
1998,West Virginia,WV,40251
1998,Wisconsin,WI,62292
1998,Wyoming,WY,53133
1999,Alaska,AK,53502
1999,Alabama,AK,75854
1999,Arizona,AL,54600
1999,Arkansas,AR,43807
1999,California,CA,64391
1999,Colorado,CO,71103
1999,Connecticut,CT,74669
1999,Delaware,DE,68817
1999,DC,D.C,57072
1999,Florida,FL,52882
1999,Georgia,GA,58187
1999,Hawaii,HI,65683
1999,Idaho,ID,52836
1999,Illinois,IL,68377
1999,Indiana,IN,60272
1999,Iowa,IA,60656
1999,Kansas,KS,55121
1999,Lousiana,LA,48193
1999,Kentucky,KY,49793
1999,Maine,ME,57356
1999,Maryland,MD,77048
1999,Massachusetts,MA,64946
1999,Michigan,MI,68022
1999,Minnesota,MN,69422
1999,Mississippi,MS,47934
1999,Missouri,MO,61076
1999,Montana,MT,45808
1999,Nebraska,NE,57007
1999,Nevada,NV,61191
1999,New Hampshire,NH,67972
1999,New Jersey,NJ,73401
1999,New Mexico,NM,48075
1999,New York,NY,59019
1999,North Carolina,NC,54982
1999,North Dakota,ND,48207
1999,Ohio,OH,58281
1999,Oklahoma,OK,48236
1999,Oregon,OR,59949
1999,Pennsylvania,PA,55726
1999,Rhode Island,RI,63048
1999,South Carolina,SC,53813
1999,South Dakota,SD,52878
1999,Tennesse,TN,53902
1999,Texas,TX,57099
1999,Utah,UT,67964
1999,Vermont,VT,61373
1999,Virginia,VA,67437
1999,Washington,WA,67113
1999,West Virginia,WV,43239
1999,Wisconsin,WI,67399
1999,Wyoming,WY,54974
2000,Alaska,AL,50566
2000,Alabama,AK,75436
