,year_income,State_income,STATE_id,Median_Income
429,1998,Massachusetts,MA,63827
430,1998,Michigan,MI,63037
431,1998,Minnesota,MN,72239
432,1998,Mississippi,MS,43893
433,1998,Missouri,MO,60595
434,1998,Montana,MT,47596
435,1998,Nebraska,NE,54886
436,1998,Nevada,NV,59924
437,1998,New Hampshire,NH,67766
438,1998,New Jersey,NJ,75103
439,1998,New Mexico,NM,47545
440,1998,New York,NY,56364
441,1998,North Carolina,NC,54019
442,1998,North Dakota,ND,45677
443,1998,Ohio,OH,58672
444,1998,Oklahoma,OK,50837
445,1998,Oregon,OR,58886
446,1998,Pennsylvania,PA,58808
447,1998,Rhode Island,RI,61326
448,1998,South Carolina,SC,50144
449,1998,South Dakota,SD,49419
450,1998,Tennesse,TN,51386
451,1998,Texas,TX,53936
452,1998,Utah,UT,66772
453,1998,Vermont,VT,59346
454,1998,Virginia,VA,65348
455,1998,Washington,WA,71478
456,1998,West Virginia,WV,40251
457,1998,Wisconsin,WI,62292
458,1998,Wyoming,WY,53133
459,1999,Alaska,AK,53502
460,1999,Alabama,AL,75854
461,1999,Arizona,AZ,54600
462,1999,Arkansas,AR,43807
463,1999,California,CA,64391
464,1999,Colorado,CO,71103
465,1999,Connecticut,CT,74669
466,1999,Delaware,DE,68817
467,1999,DC,D.C,57072
468,1999,Florida,FL,52882
469,1999,Georgia,GA,58187
470,1999,Hawaii,HI,65683
471,1999,Idaho,ID,52836
472,1999,Illinois,IL,68377
473,1999,Indiana,IN,60272
474,1999,Iowa,IA,60656
475,1999,Kansas,KS,55121
476,1999,Lousiana,LA,48193
477,1999,Kentucky,KY,49793
478,1999,Maine,ME,57356
479,1999,Maryland,MD,77048
480,1999,Massachusetts,MA,64946
481,1999,Michigan,MI,68022
482,1999,Minnesota,MN,69422
483,1999,Mississippi,MS,47934
484,1999,Missouri,MO,61076
485,1999,Montana,MT,45808
486,1999,Nebraska,NE,57007
487,1999,Nevada,NV,61191
488,1999,New Hampshire,NH,67972
489,1999,New Jersey,NJ,73401
490,1999,New Mexico,NM,48075
491,1999,New York,NY,59019
492,1999,North Carolina,NC,54982
493,1999,North Dakota,ND,48207
494,1999,Ohio,OH,58281
495,1999,Oklahoma,OK,48236
496,1999,Oregon,OR,59949
497,1999,Pennsylvania,PA,55726
498,1999,Rhode Island,RI,63048
499,1999,South Carolina,SC,53813
500,1999,South Dakota,SD,52878
501,1999,Tennesse,TN,53902
502,1999,Texas,TX,57099
503,1999,Utah,UT,67964
504,1999,Vermont,VT,61373
505,1999,Virginia,VA,67437
506,1999,Washington,WA,67113
507,1999,West Virginia,WV,43239
508,1999,Wisconsin,WI,67399
509,1999,Wyoming,WY,54974
510,2000,Alaska,AK,50566
511,2000,Alabama,AL,75436
512,2000,Arizona,AZ,56788
513,2000,Arkansas,AR,42391
514,2000,California,CA,66827
515,2000,Colorado,CO,68860
516,2000,Connecticut,CT,71618
517,2000,Delaware,DE,71893
518,2000,DC,D.C,58842
519,2000,Florida,FL,55465
520,2000,Georgia,GA,59811
521,2000,Hawaii,HI,73579
522,2000,Idaho,ID,53688
523,2000,Illinois,IL,65754
524,2000,Indiana,IN,58332
525,2000,Iowa,IA,58512
526,2000,Kansas,KS,58609
527,2000,Lousiana,LA,43848
528,2000,Kentucky,KY,51766
529,2000,Maine,ME,53195
530,2000,Maryland,MD,77846
531,2000,Massachusetts,MA,66737
532,2000,Michigan,MI,64966
533,2000,Minnesota,MN,77440
534,2000,Mississippi,MS,48960
535,2000,Missouri,MO,64373
536,2000,Montana,MT,46787
537,2000,Nebraska,NE,59596
538,2000,Nevada,NV,65317
539,2000,New Hampshire,NH,72694
540,2000,New Jersey,NJ,71950
541,2000,New Mexico,NM,50093
542,2000,New York,NY,58160
543,2000,North Carolina,NC,54695
544,2000,North Dakota,ND,51382
545,2000,Ohio,OH,61326
546,2000,Oklahoma,OK,46295
547,2000,Oregon,OR,60665
548,2000,Pennsylvania,PA,60204
549,2000,Rhode Island,RI,60234
550,2000,South Carolina,SC,53629
551,2000,South Dakota,SD,52066
552,2000,Tennesse,TN,48670
553,2000,Texas,TX,55112
554,2000,Utah,UT,67875
555,2000,Vermont,VT,56518
556,2000,Virginia,VA,67322
557,2000,Washington,WA,60702
558,2000,West Virginia,WV,41982
559,2000,Wisconsin,WI,64360
560,2000,Wyoming,WY,56568
561,2001,Alaska,AK,48800
562,2001,Alabama,AL,79616
563,2001,Arizona,AZ,59270
564,2001,Arkansas,AR,46272
565,2001,California,CA,65596
566,2001,Colorado,CO,68559
567,2001,Connecticut,CT,74042
568,2001,Delaware,DE,68844
569,2001,DC,D.C,57140
570,2001,Florida,FL,50550
571,2001,Georgia,GA,59092
572,2001,Hawaii,HI,65842
573,2001,Idaho,ID,53076
574,2001,Illinois,IL,64082
575,2001,Indiana,IN,56043
576,2001,Iowa,IA,56872
577,2001,Kansas,KS,57481
578,2001,Lousiana,LA,46249
579,2001,Kentucky,KY,53348
580,2001,Maine,ME,50815
581,2001,Maryland,MD,74296
582,2001,Massachusetts,MA,72523
583,2001,Michigan,MI,62522
584,2001,Minnesota,MN,73117
585,2001,Mississippi,MS,41861
586,2001,Missouri,MO,57376
587,2001,Montana,MT,44589
588,2001,Nebraska,NE,60529
589,2001,Nevada,NV,63016
590,2001,New Hampshire,NH,71244
591,2001,New Jersey,NJ,71854
592,2001,New Mexico,NM,45974
593,2001,New York,NY,58451
594,2001,North Carolina,NC,52966
595,2001,North Dakota,ND,49678
596,2001,Ohio,OH,57995
597,2001,Oklahoma,OK,49423
598,2001,Oregon,OR,57284
599,2001,Pennsylvania,PA,60373
600,2001,Rhode Island,RI,63460
601,2001,South Carolina,SC,52375
602,2001,South Dakota,SD,55060
603,2001,Tennesse,TN,49664
604,2001,Texas,TX,56711
605,2001,Utah,UT,65707
606,2001,Vermont,VT,56619
607,2001,Virginia,VA,69731
608,2001,Washington,WA,58973
609,2001,West Virginia,WV,41184
610,2001,Wisconsin,WI,62937
611,2001,Wyoming,WY,55127
612,2002,Alaska,AK,51380
613,2002,Alabama,AL,72110
614,2002,Arizona,AZ,54292
615,2002,Arkansas,AR,44253
616,2002,California,CA,64817
617,2002,Colorado,CO,65988
618,2002,Connecticut,CT,72947
619,2002,Delaware,DE,67841
620,2002,DC,D.C,53385
621,2002,Florida,FL,51956
622,2002,Georgia,GA,58671
623,2002,Hawaii,HI,64634
624,2002,Idaho,ID,51533
625,2002,Illinois,IL,58358
626,2002,Indiana,IN,56086
627,2002,Iowa,IA,56089
628,2002,Kansas,KS,58234
629,2002,Lousiana,LA,46468
630,2002,Kentucky,KY,50231
631,2002,Maine,ME,50356
632,2002,Maryland,MD,77074
633,2002,Massachusetts,MA,68121
634,2002,Michigan,MI,58365
635,2002,Minnesota,MN,74635
636,2002,Mississippi,MS,42197
637,2002,Missouri,MO,58449
638,2002,Montana,MT,47598
639,2002,Nebraska,NE,58476
640,2002,Nevada,NV,61430
641,2002,New Hampshire,NH,75590
642,2002,New Jersey,NJ,74561
643,2002,New Mexico,NM,48448
644,2002,New York,NY,57342
645,2002,North Carolina,NC,49894
646,2002,North Dakota,ND,49463
647,2002,Ohio,OH,58323
648,2002,Oklahoma,OK,49816
649,2002,Oregon,OR,57118
650,2002,Pennsylvania,PA,58069
651,2002,Rhode Island,RI,57958
652,2002,South Carolina,SC,51666
653,2002,South Dakota,SD,51749
654,2002,Tennesse,TN,50597
655,2002,Texas,TX,54859
656,2002,Utah,UT,65397
657,2002,Vermont,VT,58753
658,2002,Virginia,VA,67815
659,2002,Washington,WA,61738
660,2002,West Virginia,WV,40116
661,2002,Wisconsin,WI,62721
662,2002,Wyoming,WY,54332
663,2003,Alaska,AK,49774
664,2003,Alabama,AL,69257
665,2003,Arizona,AZ,55000
666,2003,Arkansas,AR,42756
667,2003,California,CA,65867
668,2003,Colorado,CO,66722
669,2003,Connecticut,CT,73436
670,2003,Delaware,DE,65492
671,2003,DC,D.C,60181
672,2003,Florida,FL,52068
673,2003,Georgia,GA,56699
674,2003,Hawaii,HI,69253
675,2003,Idaho,ID,56611
676,2003,Illinois,IL,60327
677,2003,Indiana,IN,56682
678,2003,Iowa,IA,55291
679,2003,Kansas,KS,59096
680,2003,Lousiana,LA,44767
681,2003,Kentucky,KY,49348
682,2003,Maine,ME,49585
683,2003,Maryland,MD,69894
684,2003,Massachusetts,MA,68078
685,2003,Michigan,MI,60152
686,2003,Minnesota,MN,70574
687,2003,Mississippi,MS,43726
688,2003,Missouri,MO,58468
689,2003,Montana,MT,45570
690,2003,Nebraska,NE,58751
691,2003,Nevada,NV,60368
692,2003,New Hampshire,NH,74240
693,2003,New Jersey,NJ,74879
694,2003,New Mexico,NM,46902
695,2003,New York,NY,57167
696,2003,North Carolina,NC,49807
697,2003,North Dakota,ND,53990
698,2003,Ohio,OH,58145
699,2003,Oklahoma,OK,47967
700,2003,Oregon,OR,55630
701,2003,Pennsylvania,PA,57361
702,2003,Rhode Island,RI,59736
703,2003,South Carolina,SC,51410
704,2003,South Dakota,SD,52803
705,2003,Tennesse,TN,50133
706,2003,Texas,TX,52468
707,2003,Utah,UT,65834
708,2003,Vermont,VT,57799
709,2003,Virginia,VA,73193
710,2003,Washington,WA,63473
711,2003,West Virginia,WV,43773
712,2003,Wisconsin,WI,61818
713,2003,Wyoming,WY,56855
714,2004,Alaska,AK,47651
715,2004,Alabama,AL,71632
716,2004,Arizona,AZ,57039
717,2004,Arkansas,AR,45511
718,2004,California,CA,64033
719,2004,Colorado,CO,66198
720,2004,Connecticut,CT,71680
721,2004,Delaware,DE,62507
722,2004,DC,D.C,56525
723,2004,Florida,FL,52732
724,2004,Georgia,GA,53316
725,2004,Hawaii,HI,73165
726,2004,Idaho,ID,57705
727,2004,Illinois,IL,59942
728,2004,Indiana,IN,55066
